target_word,target_group,attribute_word,attribute_group,cosine_similarity
adam,X,caress,A,0.18943262
adam,X,freedom,A,0.08288405
adam,X,health,A,0.013625764
adam,X,love,A,0.20831233
adam,X,peace,A,0.07078379
adam,X,cheer,A,0.0118634915
adam,X,friend,A,0.16138716
adam,X,heaven,A,0.27351242
adam,X,loyal,A,0.046605173
adam,X,pleasure,A,0.039050452
adam,X,diamond,A,0.093602516
adam,X,gentle,A,0.019902134
adam,X,honest,A,0.10890631
adam,X,lucky,A,0.1390413
adam,X,rainbow,A,0.1340122
adam,X,diploma,A,-0.03732903
adam,X,gift,A,0.09323534
adam,X,honor,A,0.03563064
adam,X,miracle,A,0.16939445
adam,X,sunrise,A,0.1476939
adam,X,family,A,0.060356747
adam,X,happy,A,0.096410096
adam,X,laughter,A,0.029076396
adam,X,paradise,A,0.1599347
adam,X,vacation,A,0.031169342
adam,X,abuse,B,0.07314086
adam,X,crash,B,0.08108052
adam,X,filth,B,0.18447119
adam,X,murder,B,0.06062806
adam,X,sickness,B,0.14877525
adam,X,accident,B,0.088356346
adam,X,death,B,0.10098612
adam,X,grief,B,0.067121774
adam,X,poison,B,0.13991219
adam,X,stink,B,0.1930371
adam,X,assault,B,0.06858556
adam,X,disaster,B,0.07049667
adam,X,hatred,B,0.14464124
adam,X,pollute,B,0.08928854
adam,X,tragedy,B,0.07470821
adam,X,divorce,B,0.1346104
adam,X,jail,B,0.048346143
adam,X,poverty,B,-0.031994198
adam,X,ugly,B,0.15002221
adam,X,cancer,B,0.05574403
adam,X,kill,B,0.14101367
adam,X,rotten,B,0.21212642
adam,X,vomit,B,0.20399587
adam,X,agony,B,0.04609578
adam,X,prison,B,-0.025401572
chip,X,caress,A,0.12171434
chip,X,freedom,A,0.015687576
chip,X,health,A,0.0103625115
chip,X,love,A,0.031104833
chip,X,peace,A,0.08043775
chip,X,cheer,A,0.07637424
chip,X,friend,A,0.019573912
chip,X,heaven,A,0.13603424
chip,X,loyal,A,0.0068740738
chip,X,pleasure,A,-0.04720338
chip,X,diamond,A,0.23837142
chip,X,gentle,A,0.06435321
chip,X,honest,A,0.10227706
chip,X,lucky,A,0.07986374
chip,X,rainbow,A,0.16680698
chip,X,diploma,A,0.0066589
chip,X,gift,A,0.0860037
chip,X,honor,A,0.05435061
